text,intent
Phòng có mùi khó chịu. Phòng quá nhỏ. Kém chất lượng. Thiếu tiện nghi.,negative
Giá cả hợp lý. Homestay sạch sẽ. Tuyệt vời.,positive
Chắc chắn sẽ quay lại. Rất tốt.,positive
Rất tốt. Rất hài lòng. Thái độ nhân viên rất tốt.,positive
Dịch vụ tuyệt vời. Homestay sạch sẽ.,positive
Cực kỳ tệ. Phòng có mùi khó chịu. Kém chất lượng.,negative
Rất hài lòng. Giá cả hợp lý.,positive
Kém chất lượng. Không đáng tiền. Thái độ nhân viên không tốt.,negative
Dịch vụ kém. Nhân viên lạnh nhạt. Cực kỳ tệ. Bữa sáng nghèo nàn.,negative
Vị trí thuận tiện. Đáng đồng tiền. Trang thiết bị hiện đại. Homestay sạch sẽ.,positive
Vị trí xa trung tâm. Giá quá cao.,negative
Không gian yên tĩnh. Giá cả hợp lý. Dịch vụ tuyệt vời.,positive
Nhân viên lạnh nhạt. Bữa sáng nghèo nàn. Thiếu tiện nghi.,negative
Thái độ nhân viên rất tốt. Check-in nhanh chóng. Trang thiết bị hiện đại.,positive
Dịch vụ kém. Kém chất lượng.,negative
Check-in nhanh chóng. Thái độ nhân viên rất tốt. Dịch vụ tuyệt vời.,positive
Trang thiết bị hiện đại. Sạch sẽ và tiện nghi.,positive
Nhân viên thân thiện. Giá cả hợp lý. Sạch sẽ và tiện nghi. Dịch vụ tuyệt vời.,positive
Rất thất vọng. Không quay lại lần sau.,negative
Phòng bẩn. Phòng có mùi khó chịu. Kém chất lượng.,negative
Kém chất lượng. Phòng có mùi khó chịu.,negative
Vị trí xa trung tâm. Phòng quá nhỏ. Không giống hình ảnh. Phòng có mùi khó chịu.,negative
Rất thất vọng. Khó chịu. Phòng quá nhỏ. Không quay lại lần sau.,negative
Tuyệt vời. Dịch vụ tuyệt vời.,positive
Rất hài lòng. Giá cả hợp lý.,positive
Homestay sạch sẽ. Rất hài lòng. Tuyệt vời.,positive
Khó chịu. Thiếu tiện nghi. Nhân viên lạnh nhạt.,negative
Kém chất lượng. Khó chịu.,negative
Phòng có mùi khó chịu. Không giống hình ảnh. Thái độ nhân viên không tốt.,negative
Phòng quá nhỏ. Rất thất vọng. Dịch vụ kém.,negative
Thái độ nhân viên rất tốt. Rất tốt. Phòng ốc đẹp. Check-in nhanh chóng.,positive
Sạch sẽ và tiện nghi. Rất hài lòng. Tuyệt vời. Check-in nhanh chóng.,positive
Dịch vụ tuyệt vời. Check-in nhanh chóng. Sạch sẽ và tiện nghi. Ăn sáng ngon.,positive
Rất thất vọng. Phòng bẩn.,negative
Khó chịu. Check-in chậm. Thái độ nhân viên không tốt. Dịch vụ kém.,negative
Tuyệt vời. Phục vụ chu đáo.,positive
Phòng ốc đẹp. Ăn sáng ngon. Vị trí thuận tiện. Đáng đồng tiền.,positive
Kém chất lượng. Bữa sáng nghèo nàn. Nhân viên lạnh nhạt. Phòng quá nhỏ.,negative
Khó chịu. Phòng bẩn. Không giống hình ảnh.,negative
Rất hài lòng. Vị trí thuận tiện. Chắc chắn sẽ quay lại. Rất tốt.,positive
Không giống hình ảnh. Kém chất lượng. Rất thất vọng. Phòng quá nhỏ.,negative
Nhân viên lạnh nhạt. Phòng bẩn.,negative
Không gian yên tĩnh. Vị trí thuận tiện. Thái độ nhân viên rất tốt.,positive
Rất hài lòng. Dịch vụ tuyệt vời.,positive
Bữa sáng nghèo nàn. Thái độ nhân viên không tốt.,negative
Giá cả hợp lý. Sạch sẽ và tiện nghi. Ăn sáng ngon. Dịch vụ tuyệt vời.,positive
Giá quá cao. Kém chất lượng. Rất thất vọng.,negative
Nhân viên thân thiện. Phục vụ chu đáo. Ăn sáng ngon. Tuyệt vời.,positive
Thái độ nhân viên rất tốt. Rất hài lòng. Đáng đồng tiền. Phục vụ chu đáo.,positive
Homestay sạch sẽ. Chắc chắn sẽ quay lại.,positive
Giá quá cao. Phòng bẩn. Vị trí xa trung tâm.,negative
Ăn sáng ngon. Tuyệt vời.,positive
Thiếu tiện nghi. Không quay lại lần sau. Không đáng tiền. Phòng bẩn.,negative
Rất thất vọng. Nhân viên lạnh nhạt. Phòng bẩn.,negative
Ăn sáng ngon. Thái độ nhân viên rất tốt.,positive
Homestay sạch sẽ. Đáng đồng tiền. Nhân viên thân thiện.,positive
Phục vụ chu đáo. Rất tốt. Nhân viên thân thiện. Sạch sẽ và tiện nghi.,positive
Dịch vụ tuyệt vời. Trang thiết bị hiện đại. Rất tốt.,positive
Cực kỳ tệ. Thiếu tiện nghi. Không quay lại lần sau.,negative
Phục vụ chu đáo. Sạch sẽ và tiện nghi. Chắc chắn sẽ quay lại.,positive
Không đáng tiền. Không giống hình ảnh.,negative
Phòng ốc đẹp. Ăn sáng ngon. Rất hài lòng. Trang thiết bị hiện đại.,positive
Thái độ nhân viên rất tốt. Ăn sáng ngon. Phục vụ chu đáo.,positive
Check-in chậm. Không quay lại lần sau. Không giống hình ảnh.,negative
Kém chất lượng. Dịch vụ kém. Phòng bẩn.,negative
Khó chịu. Cực kỳ tệ. Thiếu tiện nghi. Vị trí xa trung tâm.,negative
"Dịch vụ tệ, Homestay bẩn, không đáng tiền.",negative
Không đáng tiền. Không quay lại lần sau. Dịch vụ kém.,negative
Không gian yên tĩnh. Phòng ốc đẹp. Rất tốt. Giá cả hợp lý.,positive
Kém chất lượng. Thái độ nhân viên không tốt. Khó chịu.,negative
"Homestay không có nước nóng, rất bất tiện.",negative
Không quay lại lần sau. Thiếu tiện nghi.,negative
Vị trí xa trung tâm. Rất thất vọng.,negative
Homestay có dép đi trong nhà sạch sẽ.,positive
Thái độ nhân viên không tốt. Kém chất lượng. Phòng quá nhỏ. Nhân viên lạnh nhạt.,negative
Không giống hình ảnh. Vị trí xa trung tâm. Check-in chậm. Dịch vụ kém.,negative
Dịch vụ kém. Check-in chậm. Không đáng tiền. Cực kỳ tệ.,negative
Sạch sẽ và tiện nghi. Rất tốt. Trang thiết bị hiện đại.,positive
Đáng đồng tiền. Tuyệt vời.,positive
Giá cả hợp lý. Dịch vụ tuyệt vời.,positive
Giá quá cao. Không đáng tiền. Không quay lại lần sau. Không giống hình ảnh.,negative
Thiếu tiện nghi. Không đáng tiền. Khó chịu.,negative
Vị trí thuận tiện. Rất tốt.,positive
Khó chịu. Kém chất lượng. Thái độ nhân viên không tốt. Bữa sáng nghèo nàn.,negative
Vị trí xa trung tâm. Cực kỳ tệ. Khó chịu. Không giống hình ảnh.,negative
Phòng bẩn. Cực kỳ tệ. Vị trí xa trung tâm. Kém chất lượng.,negative
Bữa sáng nghèo nàn. Kém chất lượng. Nhân viên lạnh nhạt.,negative
Homestay có hệ thống khóa từ an toàn.,positive
Phòng có mùi khó chịu. Kém chất lượng.,negative
Chắc chắn sẽ quay lại. Phục vụ chu đáo. Không gian yên tĩnh.,positive
"Homestay có rèm cửa dày, đảm bảo riêng tư.",positive
Nhân viên thân thiện. Vị trí thuận tiện.,positive
Cực kỳ tệ. Thái độ nhân viên không tốt.,negative
Check-in nhanh chóng. Ăn sáng ngon.,positive
Rất tốt. Dịch vụ tuyệt vời. Đáng đồng tiền.,positive
Homestay sạch nhưng hơi nhỏ.,negative
Phòng quá nhỏ. Không giống hình ảnh. Khó chịu. Rất thất vọng.,negative
Vị trí xa trung tâm. Không giống hình ảnh. Bữa sáng nghèo nàn.,negative
Dịch vụ kém. Không đáng tiền.,negative
Không gian yên tĩnh. Trang thiết bị hiện đại. Nhân viên thân thiện.,positive
Đáng đồng tiền. Rất tốt. Nhân viên thân thiện. Sạch sẽ và tiện nghi.,positive
Giá quá cao. Cực kỳ tệ. Bữa sáng nghèo nàn. Dịch vụ kém.,negative
Dịch vụ kém. Kém chất lượng. Thái độ nhân viên không tốt.,negative
Kém chất lượng. Check-in chậm.,negative
Rất tốt. Tuyệt vời. Phục vụ chu đáo.,positive
Trang thiết bị hiện đại. Phục vụ chu đáo. Thái độ nhân viên rất tốt. Chắc chắn sẽ quay lại.,positive
Rất hài lòng. Vị trí thuận tiện. Chắc chắn sẽ quay lại.,positive
Vị trí xa trung tâm. Nhân viên lạnh nhạt. Giá quá cao. Rất thất vọng.,negative
Đáng đồng tiền. Rất hài lòng. Check-in nhanh chóng.,positive
Không giống hình ảnh. Giá quá cao. Check-in chậm.,negative
Phòng có mùi khó chịu. Không giống hình ảnh.,negative
Phục vụ chu đáo. Rất hài lòng.,positive
Cực kỳ tệ. Thiếu tiện nghi. Phòng quá nhỏ.,negative
Rất hài lòng. Rất tốt. Giá cả hợp lý.,positive
Rất thất vọng. Thái độ nhân viên không tốt. Cực kỳ tệ. Thiếu tiện nghi.,negative
Dịch vụ kém. Không quay lại lần sau. Thiếu tiện nghi.,negative
Rất tốt. Rất hài lòng.,positive
Kém chất lượng. Thái độ nhân viên không tốt. Bữa sáng nghèo nàn.,negative
Sạch sẽ và tiện nghi. Giá cả hợp lý.,positive
Giá cả hợp lý. Vị trí thuận tiện. Thái độ nhân viên rất tốt. Đáng đồng tiền.,positive
Bữa sáng nghèo nàn. Vị trí xa trung tâm.,negative
Thái độ nhân viên rất tốt. Chắc chắn sẽ quay lại. Rất tốt. Trang thiết bị hiện đại.,positive
Nhân viên thân thiện. Rất tốt. Homestay sạch sẽ. Rất hài lòng.,positive
Không gian yên tĩnh. Nhân viên thân thiện.,positive
Dịch vụ kém. Thái độ nhân viên không tốt. Rất thất vọng.,negative
Dịch vụ tuyệt vời. Không gian yên tĩnh. Rất tốt.,positive
Dịch vụ tuyệt vời. Nhân viên thân thiện. Đáng đồng tiền.,positive
Tuyệt vời. Phục vụ chu đáo. Trang thiết bị hiện đại. Dịch vụ tuyệt vời.,positive
Phòng ốc đẹp. Nhân viên thân thiện. Check-in nhanh chóng. Homestay sạch sẽ.,positive
Phòng ốc đẹp. Không gian yên tĩnh. Trang thiết bị hiện đại.,positive
Cực kỳ tệ. Nhân viên lạnh nhạt. Không đáng tiền. Vị trí xa trung tâm.,negative
Nhân viên lạnh nhạt. Dịch vụ kém. Không đáng tiền.,negative
Sạch sẽ và tiện nghi. Đáng đồng tiền. Dịch vụ tuyệt vời. Rất hài lòng.,positive
Check-in nhanh chóng. Trang thiết bị hiện đại.,positive
Phòng bẩn. Kém chất lượng. Không giống hình ảnh.,negative
Giá cả hợp lý. Trang thiết bị hiện đại.,positive
Thiếu tiện nghi. Dịch vụ kém.,negative
Tuyệt vời. Sạch sẽ và tiện nghi. Homestay sạch sẽ. Chắc chắn sẽ quay lại.,positive
Phòng quá nhỏ. Cực kỳ tệ. Thiếu tiện nghi. Check-in chậm.,negative
Tuyệt vời. Ăn sáng ngon. Rất hài lòng. Nhân viên thân thiện.,positive
Tuyệt vời. Thái độ nhân viên rất tốt.,positive
Không quay lại lần sau. Phòng có mùi khó chịu.,negative
Bữa sáng nghèo nàn. Nhân viên lạnh nhạt. Dịch vụ kém.,negative
Phòng quá nhỏ. Nhân viên lạnh nhạt.,negative
Bữa sáng nghèo nàn. Phòng quá nhỏ. Cực kỳ tệ.,negative
Dịch vụ kém. Kém chất lượng.,negative
Không đáng tiền. Check-in chậm. Phòng bẩn.,negative
Khó chịu. Check-in chậm. Thiếu tiện nghi. Phòng quá nhỏ.,negative
Không quay lại lần sau. Thái độ nhân viên không tốt. Thiếu tiện nghi.,negative
Thái độ nhân viên rất tốt. Ăn sáng ngon. Phòng ốc đẹp. Đáng đồng tiền.,positive
Phòng quá nhỏ. Thái độ nhân viên không tốt. Rất thất vọng.,negative
Phòng quá nhỏ. Không đáng tiền. Phòng có mùi khó chịu. Khó chịu.,negative
Không đáng tiền. Check-in chậm.,negative
Không gian yên tĩnh. Trang thiết bị hiện đại.,positive
Cực kỳ tệ. Thiếu tiện nghi.,negative
Phòng ốc đẹp. Ăn sáng ngon. Tuyệt vời. Homestay sạch sẽ.,positive
Thiếu tiện nghi. Phòng bẩn. Khó chịu. Dịch vụ kém.,negative
Không quay lại lần sau. Giá quá cao.,negative
Homestay sạch sẽ. Nhân viên thân thiện. Tuyệt vời.,positive
Thái độ nhân viên không tốt. Giá quá cao.,negative
Nhân viên thân thiện. Chắc chắn sẽ quay lại. Phòng ốc đẹp. Dịch vụ tuyệt vời.,positive
Không gian yên tĩnh. Rất tốt. Đáng đồng tiền.,positive
Nhân viên lạnh nhạt. Phòng bẩn. Bữa sáng nghèo nàn.,negative
Dịch vụ kém. Phòng quá nhỏ.,negative
Rất hài lòng. Phòng ốc đẹp.,positive
Thái độ nhân viên không tốt. Không đáng tiền. Giá quá cao.,negative
Homestay sạch sẽ. Sạch sẽ và tiện nghi. Vị trí thuận tiện.,positive
Đáng đồng tiền. Ăn sáng ngon. Nhân viên thân thiện.,positive
Nhân viên lạnh nhạt. Không giống hình ảnh.,negative
Dịch vụ kém. Thái độ nhân viên không tốt. Bữa sáng nghèo nàn.,negative
Không đáng tiền. Kém chất lượng.,negative
Tuyệt vời. Phòng ốc đẹp. Chắc chắn sẽ quay lại.,positive
"Nhân viên không nhiệt tình, dịch vụ chậm.",negative
Trang thiết bị hiện đại. Rất tốt. Phục vụ chu đáo. Đáng đồng tiền.,positive
Nhân viên thân thiện. Rất tốt. Đáng đồng tiền.,positive
Đáng đồng tiền. Không gian yên tĩnh. Check-in nhanh chóng. Dịch vụ tuyệt vời.,positive
Rất thất vọng. Không đáng tiền. Cực kỳ tệ. Dịch vụ kém.,negative
Thái độ nhân viên rất tốt. Phục vụ chu đáo. Không gian yên tĩnh. Check-in nhanh chóng.,positive
Rất tốt. Thái độ nhân viên rất tốt. Đáng đồng tiền.,positive
Dịch vụ tuyệt vời. Trang thiết bị hiện đại. Sạch sẽ và tiện nghi.,positive
Không giống hình ảnh. Dịch vụ kém.,negative
"Vị trí không thuận tiện, giá cao, Homestay nhỏ.",negative
Nhân viên lạnh nhạt. Không quay lại lần sau.,negative
Vị trí xa trung tâm. Bữa sáng nghèo nàn.,negative
Rất hài lòng. Nhân viên thân thiện. Không gian yên tĩnh.,positive
Khó chịu. Bữa sáng nghèo nàn. Không giống hình ảnh.,negative
Check-in nhanh chóng. Sạch sẽ và tiện nghi. Dịch vụ tuyệt vời.,positive
Dịch vụ kém. Phòng bẩn. Rất thất vọng.,negative
Nhân viên thân thiện. Rất tốt.,positive
Nhân viên thân thiện. Không gian yên tĩnh.,positive
Nhân viên thân thiện. Vị trí thuận tiện. Ăn sáng ngon. Rất hài lòng.,positive
Rất thất vọng. Phòng có mùi khó chịu.,negative
Khó chịu. Bữa sáng nghèo nàn. Thái độ nhân viên không tốt.,negative
Sạch sẽ và tiện nghi. Check-in nhanh chóng.,positive
Check-in nhanh chóng. Tuyệt vời.,positive
Phòng bẩn. Nhân viên lạnh nhạt. Rất thất vọng.,negative
Cực kỳ tệ. Vị trí xa trung tâm. Khó chịu.,negative
Nhân viên thân thiện. Phòng ốc đẹp. Tuyệt vời.,positive
Thái độ nhân viên rất tốt. Phòng ốc đẹp. Trang thiết bị hiện đại. Giá cả hợp lý.,positive
Rất tốt. Thái độ nhân viên rất tốt.,positive
Dịch vụ tuyệt vời. Vị trí thuận tiện. Rất hài lòng.,positive
Giá quá cao. Bữa sáng nghèo nàn.,negative
Thái độ nhân viên không tốt. Bữa sáng nghèo nàn.,negative
Phòng có mùi khó chịu. Thái độ nhân viên không tốt.,negative
Ăn sáng ngon. Sạch sẽ và tiện nghi. Thái độ nhân viên rất tốt.,positive
Dịch vụ kém. Không đáng tiền. Không giống hình ảnh.,negative
Khó chịu. Vị trí xa trung tâm. Dịch vụ kém.,negative
Rất tốt. Thái độ nhân viên rất tốt. Giá cả hợp lý.,positive
Kém chất lượng. Rất thất vọng.,negative
Giá quá cao. Không đáng tiền. Rất thất vọng.,negative
Kém chất lượng. Giá quá cao. Thiếu tiện nghi.,negative
"Homestay nhỏ và ồn ào, giá đắt.",negative
Phòng có mùi khó chịu. Kém chất lượng. Phòng bẩn.,negative
Không giống hình ảnh. Phòng bẩn.,negative
Cực kỳ tệ. Dịch vụ kém. Giá quá cao. Phòng có mùi khó chịu.,negative
Không quay lại lần sau. Dịch vụ kém. Bữa sáng nghèo nàn. Kém chất lượng.,negative
Thái độ nhân viên rất tốt. Trang thiết bị hiện đại. Tuyệt vời. Phòng ốc đẹp.,positive
Dịch vụ tuyệt vời. Phục vụ chu đáo. Check-in nhanh chóng.,positive
Phục vụ chu đáo. Thái độ nhân viên rất tốt.,positive
Thái độ nhân viên rất tốt. Tuyệt vời. Giá cả hợp lý. Trang thiết bị hiện đại.,positive
Không đáng tiền. Cực kỳ tệ. Giá quá cao.,negative
Dịch vụ kém. Kém chất lượng. Nhân viên lạnh nhạt.,negative
Thiếu tiện nghi. Kém chất lượng. Thái độ nhân viên không tốt.,negative
Giá cả hợp lý. Trang thiết bị hiện đại. Phòng ốc đẹp.,positive
Không giống hình ảnh. Thiếu tiện nghi. Vị trí xa trung tâm.,negative
Check-in chậm. Nhân viên lạnh nhạt.,negative
Giá quá cao. Phòng bẩn.,negative
Dịch vụ kém. Bữa sáng nghèo nàn. Giá quá cao.,negative
Homestay sạch sẽ. Ăn sáng ngon. Check-in nhanh chóng. Phòng ốc đẹp.,positive
Không đáng tiền. Không giống hình ảnh. Check-in chậm.,negative
Rất thất vọng. Khó chịu. Kém chất lượng.,negative
Sạch sẽ và tiện nghi. Giá cả hợp lý. Không gian yên tĩnh.,positive
Thái độ nhân viên không tốt. Bữa sáng nghèo nàn. Kém chất lượng. Rất thất vọng.,negative
Trang thiết bị hiện đại. Phòng ốc đẹp.,positive
Nhân viên nhiệt tình nhưng Homestay ồn.,negative
Khó chịu. Thái độ nhân viên không tốt. Bữa sáng nghèo nàn. Không giống hình ảnh.,negative
Không quay lại lần sau. Khó chịu. Vị trí xa trung tâm.,negative
Phòng bẩn. Kém chất lượng. Không giống hình ảnh. Phòng quá nhỏ.,negative
Tuyệt vời. Không gian yên tĩnh. Ăn sáng ngon.,positive
Khó chịu. Bữa sáng nghèo nàn.,negative
Phòng quá nhỏ. Không đáng tiền. Giá quá cao.,negative
Dịch vụ kém. Phòng có mùi khó chịu.,negative
Giá quá cao. Khó chịu. Bữa sáng nghèo nàn.,negative
Rất thất vọng. Giá quá cao. Phòng quá nhỏ.,negative
Giá cả hợp lý. Nhân viên thân thiện. Phòng ốc đẹp. Rất tốt.,positive
Bữa sáng nghèo nàn. Phòng có mùi khó chịu.,negative
Sạch sẽ và tiện nghi. Nhân viên thân thiện. Chắc chắn sẽ quay lại.,positive
Phòng quá nhỏ. Dịch vụ kém. Khó chịu.,negative
Kém chất lượng. Không đáng tiền. Phòng có mùi khó chịu.,negative
Cực kỳ tệ. Check-in chậm. Bữa sáng nghèo nàn. Dịch vụ kém.,negative
Bữa sáng nghèo nàn. Rất thất vọng. Không đáng tiền. Thái độ nhân viên không tốt.,negative
Homestay sạch sẽ. Check-in nhanh chóng. Không gian yên tĩnh.,positive
Bữa sáng nghèo nàn. Không giống hình ảnh.,negative
Phòng quá nhỏ. Bữa sáng nghèo nàn.,negative
Check-in chậm. Không giống hình ảnh. Vị trí xa trung tâm.,negative
Giá quá cao. Kém chất lượng.,negative
Check-in nhanh chóng. Phục vụ chu đáo. Tuyệt vời. Phòng ốc đẹp.,positive
Kém chất lượng. Bữa sáng nghèo nàn. Không đáng tiền. Thiếu tiện nghi.,negative
Phòng bẩn. Rất thất vọng. Bữa sáng nghèo nàn.,negative
Sạch sẽ và tiện nghi. Trang thiết bị hiện đại. Dịch vụ tuyệt vời.,positive
Thái độ nhân viên rất tốt. Phục vụ chu đáo. Rất tốt. Không gian yên tĩnh.,positive
Tuyệt vời. Phòng ốc đẹp. Thái độ nhân viên rất tốt. Check-in nhanh chóng.,positive
Không gian yên tĩnh. Trang thiết bị hiện đại. Rất tốt. Giá cả hợp lý.,positive
Nhân viên thân thiện. Tuyệt vời. Thái độ nhân viên rất tốt. Giá cả hợp lý.,positive
Check-in chậm. Kém chất lượng. Nhân viên lạnh nhạt.,negative
Ăn sáng ngon. Homestay sạch sẽ.,positive
Giá cả hợp lý. Rất hài lòng. Dịch vụ tuyệt vời.,positive
Thái độ nhân viên không tốt. Vị trí xa trung tâm. Rất thất vọng.,negative
Nhân viên lạnh nhạt. Dịch vụ kém.,negative
Vị trí thuận tiện. Không gian yên tĩnh.,positive
Nhân viên thân thiện. Phòng ốc đẹp. Chắc chắn sẽ quay lại. Homestay sạch sẽ.,positive
Rất thất vọng. Vị trí xa trung tâm. Phòng có mùi khó chịu. Phòng quá nhỏ.,negative
Ăn sáng ngon. Nhân viên thân thiện. Check-in nhanh chóng. Trang thiết bị hiện đại.,positive
Vị trí xa trung tâm. Không giống hình ảnh. Khó chịu.,negative
Nhân viên lạnh nhạt. Không đáng tiền.,negative
Tuyệt vời. Không gian yên tĩnh. Phục vụ chu đáo.,positive
Tuyệt vời. Ăn sáng ngon. Chắc chắn sẽ quay lại. Trang thiết bị hiện đại.,positive
Thiếu tiện nghi. Không quay lại lần sau. Bữa sáng nghèo nàn.,negative
Kém chất lượng. Phòng bẩn.,negative
Phòng có mùi khó chịu. Thiếu tiện nghi. Phòng bẩn.,negative
Kém chất lượng. Không quay lại lần sau. Nhân viên lạnh nhạt. Không đáng tiền.,negative
Nhân viên thân thiện. Phòng ốc đẹp. Giá cả hợp lý. Chắc chắn sẽ quay lại.,positive
Giá cả hợp lý. Vị trí thuận tiện.,positive
Tuyệt vời. Sạch sẽ và tiện nghi. Nhân viên thân thiện.,positive
Không đáng tiền. Thái độ nhân viên không tốt. Giá quá cao. Dịch vụ kém.,negative
Thái độ nhân viên rất tốt. Sạch sẽ và tiện nghi. Phục vụ chu đáo. Chắc chắn sẽ quay lại.,positive
Không đáng tiền. Rất thất vọng. Vị trí xa trung tâm. Cực kỳ tệ.,negative
Tuyệt vời. Giá cả hợp lý.,positive
Kém chất lượng. Không đáng tiền.,negative
Ăn sáng ngon. Chắc chắn sẽ quay lại.,positive
Sạch sẽ và tiện nghi. Chắc chắn sẽ quay lại. Phục vụ chu đáo. Trang thiết bị hiện đại.,positive
Bữa sáng nghèo nàn. Khó chịu. Rất thất vọng. Cực kỳ tệ.,negative
Sạch sẽ và tiện nghi. Dịch vụ tuyệt vời. Phục vụ chu đáo.,positive
Không đáng tiền. Cực kỳ tệ. Khó chịu.,negative
Không giống hình ảnh. Rất thất vọng. Phòng có mùi khó chịu.,negative
Phòng bẩn. Không đáng tiền. Check-in chậm.,negative
Rất thất vọng. Nhân viên lạnh nhạt.,negative
Phòng bẩn. Khó chịu. Cực kỳ tệ.,negative
Giá cả hợp lý. Vị trí thuận tiện.,positive
